file name;iteration;generation;minimum specimen cost so far;maximum specimen cost so far;average specimen cost;minimum specimen cost this generation; maximum specimen cost this generation
A-n45-k6.vrp.txt;1;0;2587;3154;2867;2587;3154
A-n45-k6.vrp.txt;1;1;2536;3154;2722;2536;2864
A-n45-k6.vrp.txt;1;2;2536;3154;2667;2572;2842
A-n45-k6.vrp.txt;1;3;2536;3154;2703;2542;2980
A-n45-k6.vrp.txt;1;4;2337;3154;2598;2337;2805
A-n45-k6.vrp.txt;1;5;2337;3154;2627;2418;2804
A-n45-k6.vrp.txt;1;6;2337;3154;2615;2476;2803
A-n45-k6.vrp.txt;1;7;2243;3154;2566;2243;2708
A-n45-k6.vrp.txt;1;8;2243;3154;2547;2372;2717
A-n45-k6.vrp.txt;1;9;2243;3154;2529;2386;2841
A-n45-k6.vrp.txt;1;10;2243;3154;2529;2335;2761
E-n76-k14.vrp.txt;1;0;2527;3131;2742;2527;3131
E-n76-k14.vrp.txt;1;1;2527;3131;2747;2598;2900
E-n76-k14.vrp.txt;1;2;2519;3131;2731;2519;2898
E-n76-k14.vrp.txt;1;3;2519;3131;2649;2541;2781
E-n76-k14.vrp.txt;1;4;2502;3131;2609;2502;2729
E-n76-k14.vrp.txt;1;5;2502;3131;2613;2510;2850
E-n76-k14.vrp.txt;1;6;2468;3131;2572;2468;2698
E-n76-k14.vrp.txt;1;7;2447;3131;2557;2447;2654
E-n76-k14.vrp.txt;1;8;2447;3131;2537;2468;2655
E-n76-k14.vrp.txt;1;9;2433;3131;2508;2433;2586
E-n76-k14.vrp.txt;1;10;2356;3131;2496;2356;2643
P-n101-k4.vrp.txt;1;0;3243;3699;3495;3243;3699
P-n101-k4.vrp.txt;1;1;3206;3699;3406;3206;3569
P-n101-k4.vrp.txt;1;2;3206;3699;3465;3286;3615
P-n101-k4.vrp.txt;1;3;3175;3699;3364;3175;3571
P-n101-k4.vrp.txt;1;4;3175;3699;3332;3175;3546
P-n101-k4.vrp.txt;1;5;3175;3699;3302;3240;3426
P-n101-k4.vrp.txt;1;6;3126;3699;3254;3126;3396
P-n101-k4.vrp.txt;1;7;3126;3699;3238;3197;3285
P-n101-k4.vrp.txt;1;8;3126;3699;3234;3197;3349
P-n101-k4.vrp.txt;1;9;3126;3699;3211;3144;3275
P-n101-k4.vrp.txt;1;10;3091;3699;3175;3091;3223
M-n101-k10.vrp.txt;1;0;3991;4517;4169;3991;4517
M-n101-k10.vrp.txt;1;1;3945;4517;4131;3945;4318
M-n101-k10.vrp.txt;1;2;3888;4517;4073;3888;4251
M-n101-k10.vrp.txt;1;3;3888;4517;4129;3949;4373
M-n101-k10.vrp.txt;1;4;3888;4517;4082;3920;4270
M-n101-k10.vrp.txt;1;5;3888;4517;4100;3907;4222
M-n101-k10.vrp.txt;1;6;3741;4517;4042;3741;4404
M-n101-k10.vrp.txt;1;7;3663;4517;3977;3663;4275
M-n101-k10.vrp.txt;1;8;3630;4517;3908;3630;4144
M-n101-k10.vrp.txt;1;9;3630;4517;3887;3726;4095
M-n101-k10.vrp.txt;1;10;3630;4517;3883;3738;4196
M-n151-k12.vrp.txt;1;0;5089;5645;5287;5089;5645
M-n151-k12.vrp.txt;1;1;5021;5645;5170;5021;5457
M-n151-k12.vrp.txt;1;2;4961;5645;5201;4961;5337
M-n151-k12.vrp.txt;1;3;4955;5645;5211;4955;5381
M-n151-k12.vrp.txt;1;4;4873;5645;5138;4873;5368
M-n151-k12.vrp.txt;1;5;4857;5645;5084;4857;5235
M-n151-k12.vrp.txt;1;6;4843;5645;5046;4843;5236
M-n151-k12.vrp.txt;1;7;4843;5645;5022;4888;5121
M-n151-k12.vrp.txt;1;8;4843;5645;5043;4864;5178
M-n151-k12.vrp.txt;1;9;4843;5645;5057;4862;5175
M-n151-k12.vrp.txt;1;10;4825;5645;5022;4825;5239
X-n261-k13.vrp.txt;1;0;148564;152327;150608;148564;152327
X-n261-k13.vrp.txt;1;1;144542;153916;149792;144542;153916
X-n261-k13.vrp.txt;1;2;144542;153916;148980;146492;152264
X-n261-k13.vrp.txt;1;3;144542;154243;149848;146889;154243
X-n261-k13.vrp.txt;1;4;144542;154243;149852;146071;153105
X-n261-k13.vrp.txt;1;5;144146;154243;148227;144146;151667
X-n261-k13.vrp.txt;1;6;142582;154243;147829;142582;153270
X-n261-k13.vrp.txt;1;7;141094;154243;146596;141094;150695
X-n261-k13.vrp.txt;1;8;141094;156538;146645;141934;156538
X-n261-k13.vrp.txt;1;9;140265;156538;144902;140265;151656
X-n261-k13.vrp.txt;1;10;140265;156538;143170;140417;154209
X-n376-k94.vrp.txt;1;0;279896;291958;285927;279896;291958
X-n376-k94.vrp.txt;1;1;277762;297332;286164;277762;297332
X-n376-k94.vrp.txt;1;2;275485;297332;284369;275485;294154
X-n376-k94.vrp.txt;1;3;271833;297332;280562;271833;286472
X-n376-k94.vrp.txt;1;4;270762;297332;278151;270762;282503
X-n376-k94.vrp.txt;1;5;269481;297332;279014;269481;290388
X-n376-k94.vrp.txt;1;6;269481;297332;276555;272048;289314
X-n376-k94.vrp.txt;1;7;269481;297332;274514;270470;279896
X-n376-k94.vrp.txt;1;8;269481;297332;275092;271907;279106
X-n376-k94.vrp.txt;1;9;268411;297332;275167;268411;282605
