instance file;instance repeats;best known route cost;best found route cost;best found route path;average error;average time [s];average best solution
A-n45-k6.vrp.txt;1;944;2690;0 18 28 37 34 43 35 16 17 14 32 6 19 4 11 27 33 10 5 13 36 44 23 26 24 38 7 20 9 3 21 22 40 42 8 12 1 31 29 41 30 15 2 25 39;184.958%;0.0009131;2690
E-n76-k14.vrp.txt;1;1021;2571;0 18 28 59 34 43 62 74 17 14 32 51 64 4 61 27 33 52 47 13 69 44 55 26 24 38 7 20 9 3 21 22 56 50 8 45 1 31 29 70 30 15 54 25 66 12 5 46 36 19 42 6 53 10 72 71 75 60 57 63 49 73 35 68 58 65 39 2 37 48 41 23 67 11 16 40;151.812%;0.008169;2571
P-n101-k4.vrp.txt;1;681;2571;0 18 28 59 34 43 62 74 17 14 32 51 64 4 61 27 33 52 47 13 69 44 55 26 24 38 7 20 9 3 21 22 56 50 8 45 1 31 29 70 30 15 54 25 66 12 5 46 36 19 42 6 53 10 72 71 75 60 57 63 49 73 35 68 58 65 39 2 37 48 41 23 67 11 16 40;395.448%;0.0132143;3374
M-n101-k10.vrp.txt;1;820;2571;0 18 28 59 34 43 62 74 17 14 32 51 64 4 61 27 33 52 47 13 69 44 55 26 24 38 7 20 9 3 21 22 56 50 8 45 1 31 29 70 30 15 54 25 66 12 5 46 36 19 42 6 53 10 72 71 75 60 57 63 49 73 35 68 58 65 39 2 37 48 41 23 67 11 16 40;417.439%;0.0071853;4243
M-n151-k12.vrp.txt;1;1053;2571;0 18 28 59 34 43 62 74 17 14 32 51 64 4 61 27 33 52 47 13 69 44 55 26 24 38 7 20 9 3 21 22 56 50 8 45 1 31 29 70 30 15 54 25 66 12 5 46 36 19 42 6 53 10 72 71 75 60 57 63 49 73 35 68 58 65 39 2 37 48 41 23 67 11 16 40;404.748%;0.015154;5315
X-n261-k13.vrp.txt;1;26558;2571;0 18 28 59 34 43 62 74 17 14 32 51 64 4 61 27 33 52 47 13 69 44 55 26 24 38 7 20 9 3 21 22 56 50 8 45 1 31 29 70 30 15 54 25 66 12 5 46 36 19 42 6 53 10 72 71 75 60 57 63 49 73 35 68 58 65 39 2 37 48 41 23 67 11 16 40;462.893%;0.0308083;149493
X-n376-k94.vrp.txt;1;147713;2571;0 18 28 59 34 43 62 74 17 14 32 51 64 4 61 27 33 52 47 13 69 44 55 26 24 38 7 20 9 3 21 22 56 50 8 45 1 31 29 70 30 15 54 25 66 12 5 46 36 19 42 6 53 10 72 71 75 60 57 63 49 73 35 68 58 65 39 2 37 48 41 23 67 11 16 40;95.6131%;0.0613373;288946
X-n548-k50.vrp.txt;1;86700;2571;0 18 28 59 34 43 62 74 17 14 32 51 64 4 61 27 33 52 47 13 69 44 55 26 24 38 7 20 9 3 21 22 56 50 8 45 1 31 29 70 30 15 54 25 66 12 5 46 36 19 42 6 53 10 72 71 75 60 57 63 49 73 35 68 58 65 39 2 37 48 41 23 67 11 16 40;286.567%;0.129471;335154
X-n670-k130.vrp.txt;1;146332;2571;0 18 28 59 34 43 62 74 17 14 32 51 64 4 61 27 33 52 47 13 69 44 55 26 24 38 7 20 9 3 21 22 56 50 8 45 1 31 29 70 30 15 54 25 66 12 5 46 36 19 42 6 53 10 72 71 75 60 57 63 49 73 35 68 58 65 39 2 37 48 41 23 67 11 16 40;194.959%;0.191;431619
X-n1001-k43.vrp.txt;1;72355;2571;0 18 28 59 34 43 62 74 17 14 32 51 64 4 61 27 33 52 47 13 69 44 55 26 24 38 7 20 9 3 21 22 56 50 8 45 1 31 29 70 30 15 54 25 66 12 5 46 36 19 42 6 53 10 72 71 75 60 57 63 49 73 35 68 58 65 39 2 37 48 41 23 67 11 16 40;668.04%;0.431029;555715
