file name;iteration;generation;minimum specimen cost;maximum specimen cost;average specimen cost
P-n16-k8.vrp.txt;aaa;0;558;654;598
P-n16-k8.vrp.txt;aaa;1;526;692;588
P-n16-k8.vrp.txt;aaa;2;524;657;585
P-n16-k8.vrp.txt;aaa;3;501;665;580
P-n16-k8.vrp.txt;aaa;4;500;645;578
P-n16-k8.vrp.txt;aaa;5;495;653;582
P-n16-k8.vrp.txt;aaa;6;482;676;573
P-n16-k8.vrp.txt;aaa;7;464;652;576
P-n16-k8.vrp.txt;aaa;8;464;651;578
P-n16-k8.vrp.txt;aaa;9;519;646;581
P-n16-k8.vrp.txt;aaa;10;508;660;580
P-n16-k8.vrp.txt;aaa;11;503;663;574
P-n16-k8.vrp.txt;aaa;12;456;658;573
P-n16-k8.vrp.txt;aaa;13;489;671;574
P-n16-k8.vrp.txt;aaa;14;501;657;572
P-n16-k8.vrp.txt;aaa;15;486;655;577
P-n16-k8.vrp.txt;aaa;16;493;671;578
P-n16-k8.vrp.txt;aaa;17;493;639;576
P-n16-k8.vrp.txt;aaa;18;476;655;571
P-n16-k8.vrp.txt;aaa;19;515;655;581
P-n16-k8.vrp.txt;aaa;20;485;639;575
P-n16-k8.vrp.txt;aaa;21;497;650;579
P-n16-k8.vrp.txt;aaa;22;502;653;577
P-n16-k8.vrp.txt;aaa;23;491;677;583
P-n16-k8.vrp.txt;aaa;24;505;668;579
P-n16-k8.vrp.txt;aaa;25;503;667;578
P-n16-k8.vrp.txt;aaa;26;518;664;582
P-n16-k8.vrp.txt;aaa;27;527;652;578
P-n16-k8.vrp.txt;aaa;28;500;655;576
P-n16-k8.vrp.txt;aaa;29;485;675;575
P-n16-k8.vrp.txt;aaa;30;501;655;575
P-n16-k8.vrp.txt;aaa;31;499;658;567
P-n16-k8.vrp.txt;aaa;32;475;650;569
P-n16-k8.vrp.txt;aaa;33;475;680;571
P-n16-k8.vrp.txt;aaa;34;493;643;573
P-n16-k8.vrp.txt;aaa;35;502;663;575
P-n16-k8.vrp.txt;aaa;36;481;659;578
P-n16-k8.vrp.txt;aaa;37;506;661;573
P-n16-k8.vrp.txt;aaa;38;493;648;571
P-n16-k8.vrp.txt;aaa;39;494;649;571
P-n16-k8.vrp.txt;aaa;40;496;654;574
P-n16-k8.vrp.txt;aaa;41;493;660;574
P-n16-k8.vrp.txt;aaa;42;491;640;575
P-n16-k8.vrp.txt;aaa;43;484;655;569
P-n16-k8.vrp.txt;aaa;44;508;642;585
P-n16-k8.vrp.txt;aaa;45;508;664;576
P-n16-k8.vrp.txt;aaa;46;515;665;578
